period,real_GDP_per_capita_growth,real_consumption_per_capita_growth,real_investment_per_capita_growth,hours_worked,hours_growth,inflation,real_wage_per_capita_growth,interest_rate,shadow_interest_rate
1985-01-01,0.041712706598096005,0.6916286690494156,-1.8124851638574357,-0.6001430944975255,-0.05632500938430596,1.6564268793405557,0.4939488251405777,2.465829274055615,2.465829274055615
1985-04-01,0.7756237982418757,0.3900758286846884,1.3642792682240168,-0.889447889639996,-0.0515842882432338,1.3245969176844952,0.3561926919987357,2.4903691873471177,2.4903691873471177
1985-07-01,0.677183741647136,0.3515617814065175,1.356728236590038,-1.1513552946136087,-0.04672217574670512,1.5575312001689046,0.7271373345567156,2.33667469508116,2.33667469508116
1985-10-01,0.4363634327067434,0.34521252411523484,1.044919476812739,-1.2317430068242174,-0.014344901130147747,1.4392497192956988,0.2279297768676969,2.156968620913,2.156968620913
1986-01-01,-0.49271328684337146,-0.7911485996398016,-2.456051676263149,-1.286212340122006,-0.009721028323195213,1.8238214839836342,-0.27091703384112265,2.1871303186422626,2.1871303186422626
1986-04-01,1.672300995122633,0.8793358673464313,2.088626998862381,-1.3168476612480617,-0.005467837111261531,1.3565140882275895,0.2774097246421192,2.00707573091454,2.00707573091454
1986-07-01,0.36772745022475295,0.1878474207343661,0.5995770353489249,-1.3257686936987056,-0.0015922951831726095,1.0822908839982048,0.37905718094926044,1.9383133991201476,1.9383133991201476
1986-10-01,0.11320234974896426,0.6931145321589893,0.8716472300158373,-1.2466830147100154,0.014114942615162107,0.8516490095232143,0.290083237625538,1.9686711358829125,1.9686711358829125
1987-01-01,-0.6110757218332763,-0.0008267171890841141,-1.6934243612831412,-1.151423870602116,0.016998882868435317,0.7940869730017397,0.15232047111215508,2.02631533338357,2.02631533338357
1987-04-01,1.5441546561438368,1.6025146959520065,3.10504033498612,-1.0431218748258289,0.01932285497225905,0.9306831377498881,0.9049711932698656,2.106432898790955,2.106432898790955
